tweet_id,favorites,retweets,user_followers,user_favourites,date_time
678764513869611008,1666,486,8333967,143197,2015-12-21 02:30:45+00:00
678755239630127104,7257,3353,8333967,143197,2015-12-21 01:53:54+00:00
678740035362037760,3821,1714,8333967,143197,2015-12-21 00:53:29+00:00
678708137298427904,5682,2479,8333967,143197,2015-12-20 22:46:44+00:00
678675843183484930,2915,1502,8333967,143197,2015-12-20 20:38:24+00:00
678643457146150913,2083,425,8333967,143197,2015-12-20 18:29:43+00:00
678446151570427904,4073,1588,8333967,143197,2015-12-20 05:25:42+00:00
678424312106393600,5509,2594,8333967,143197,2015-12-20 03:58:55+00:00
678410210315247616,4307,1854,8333967,143197,2015-12-20 03:02:53+00:00
678399652199309312,80508,32394,8333967,143197,2015-12-20 02:20:55+00:00
678396796259975168,1620,422,8333967,143197,2015-12-20 02:09:34+00:00
678389028614488064,1900,434,8333967,143197,2015-12-20 01:38:42+00:00
678380236862578688,2483,928,8333967,143197,2015-12-20 01:03:46+00:00
678341075375947776,1753,545,8333967,143197,2015-12-19 22:28:09+00:00
678334497360859136,1321,259,8333967,143197,2015-12-19 22:02:01+00:00
678278586130948096,11608,6183,8333968,143197,2015-12-19 18:19:51+00:00
678255464182861824,1614,372,8333968,143197,2015-12-19 16:47:58+00:00
678023323247357953,1954,390,8333968,143197,2015-12-19 01:25:31+00:00
678021115718029313,13942,6440,8333968,143197,2015-12-19 01:16:45+00:00
677961670166224897,3472,1710,8333968,143197,2015-12-18 21:20:32+00:00
677918531514703872,1373,420,8333968,143197,2015-12-18 18:29:07+00:00
677895101218201600,4915,2130,8333968,143197,2015-12-18 16:56:01+00:00
677716515794329600,3107,989,8333968,143197,2015-12-18 05:06:23+00:00
677700003327029250,3437,1467,8333968,143197,2015-12-18 04:00:46+00:00
677698403548192770,1247,325,8333968,143197,2015-12-18 03:54:25+00:00
677687604918272002,2518,857,8333968,143197,2015-12-18 03:11:30+00:00
677673981332312066,3375,1523,8333968,143197,2015-12-18 02:17:22+00:00
677662372920729601,1966,973,8333968,143197,2015-12-18 01:31:14+00:00
677644091929329666,1882,810,8333968,143197,2015-12-18 00:18:36+00:00
677573743309385728,2160,727,8333968,143197,2015-12-17 19:39:03+00:00
677565715327688705,1312,470,8333968,143197,2015-12-17 19:07:09+00:00
677557565589463040,2468,1173,8333968,143197,2015-12-17 18:34:46+00:00
677547928504967168,7024,3722,8333968,143197,2015-12-17 17:56:29+00:00
677530072887205888,1085,233,8333968,143197,2015-12-17 16:45:31+00:00
677335745548390400,3077,1813,8333968,143197,2015-12-17 03:53:20+00:00
677334615166730240,1367,290,8333968,143197,2015-12-17 03:48:51+00:00
677331501395156992,1105,237,8333968,143197,2015-12-17 03:36:28+00:00
677328882937298944,3683,1526,8333968,143197,2015-12-17 03:26:04+00:00
677314812125323265,1662,534,8333968,143197,2015-12-17 02:30:09+00:00
677301033169788928,1248,408,8333968,143197,2015-12-17 01:35:24+00:00
677269281705472000,2017,715,8333968,143197,2015-12-16 23:29:14+00:00
677228873407442944,3589,1664,8333968,143197,2015-12-16 20:48:40+00:00
677187300187611136,2778,937,8333968,143197,2015-12-16 18:03:28+00:00
676975532580409345,2811,1090,8333987,143197,2015-12-16 04:01:59+00:00
